mo_yr,date,ALABAMA,ALASKA,ARIZONA,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,synthetic_baseline,treated,gap_raw_baseline,gap_centered_baseline
417,2010-09-01,4.420000171800001,0.7000000000000002,4.939999582,6.099999619799999,3.4999996188000004,4.6000000954,4.280000399799999,2.6399994852000006,3.1799999241999997,3.8000000475999993,3.679999638200001,4.8,1.7200000286,1.8600001337999998,4.4400004383999985,1.2599998467999995,3.1399998186000007,3.3400001524,2.9999999048,2.8600000854000003,3.1800002102000002,4.099999713599999,2.6000001424000008,0.7799997328000003,9.0199998862,1.5600001813999995,4.31999979,2.8399999618000002,2.7799998279999993,4.5800000192,0.29999995219999986,4.1600000382,2.0999999524,3.2999997138,2.8999998090000005,6.139999771599999,1.3400001046,4.079999923600001,2.1399999618,2.6600001333999996,2.1199999333999995,3.1000001909999995,3.280000210400001,3.320000361999999,3.1800000189999995,1.9000001909999997,4.024249246264933,4.099999713599999,0.07575046733506596,0.03706195803842482
418,2010-10-01,4.499999714200001,0.6600001339999997,4.8,6.019999600999999,3.4999996190000005,4.659999609600001,4.2399999618,2.6999996190000006,3.0400001046000003,3.8800003997999992,3.5800001144000007,4.5200001718000005,1.6400002003999994,1.8599998472000001,4.299999619200001,1.340000247799999,3.200000191,3.2400002006,2.9599999906,2.8599998479999993,2.8599997518,4.140000057,2.6399999145999997,0.7599999432000004,8.719999648799998,1.579999828,4.219999981,2.6799999234000005,2.7399997708,4.3799995428,0.19999995179999974,4.040000152800001,1.9400000571999998,3.1799998281999997,2.7399998668,6.160000418200001,1.2400001527999995,3.939999962,2.1200001718,2.6600001814,2.0399998671999997,3.019999886,3.180000399999999,3.3400000573999993,3.1800001142000003,2.0400000096,3.9316094787655773,4.140000057,0.20839057823442264,0.1697020689377815
419,2010-11-01,4.6199999808,0.5399997710000006,4.919999981,6.120000171000001,3.6599996572,4.619999981,4.2199998376,2.6999995236000007,2.9600001332000008,3.8799997326,3.539999580800001,4.500000285599999,1.5600001332,1.7999998092,4.259999847,1.4400003429999995,3.4000000948,3.2200001236,2.9599998471999998,2.739999771000001,3.260000229200001,4.1200002674,2.7399998193999995,0.7799999241999998,8.8600004184,1.5000001435999994,4.319999885399999,2.5599998476000003,2.739999676000001,4.6199999808,0.15999999079999982,3.899999618800001,1.9400000571999998,3.2000003800000005,2.8000001904000005,6.179999829,1.3199999335999997,3.9600001336000012,2.2200003619999995,2.5999999052,2.0999998090000003,3.0399997710000006,3.280000114600001,3.48000021,3.0999998092000007,2.2399999621999993,3.9178799127759674,4.1200002674,0.20212035462403266,0.16343184532739152
420,2010-12-01,4.6000001912,0.6199999808000003,4.700000381199999,6.180000494600001,3.5400003436,4.639999914,4.0399999622,2.8400002482,3.0400001046000003,3.9800001144,3.400000191,4.059999847199999,1.6000001428,1.7800001142,4.0999999998,2.0000000952,3.480000019,3.1799998280000006,2.8600000386,2.6799999236000005,3.6400002471999997,4.0999999044,3.019999981,0.7800002097999994,8.880000351200001,1.6000001911999995,4.280000399999999,2.3800002101999995,2.5599998471999994,4.6400002472,0.18000006719999995,3.6399998661999993,1.6800002099999993,3.1799999237999996,2.71999979,6.180000113600001,1.5399998667999992,3.8999999041999995,2.1800002099999993,2.8000001434,2.1599997996000004,3.079999828,3.0600003237999998,3.6600004191999993,2.9599997518000007,2.2399998186000003,3.832407277524223,4.0999999044,0.2675926268757767,0.22890411757913554
421,2011-01-01,5.0600000384,0.519999694600001,4.6199999808,6.040000341800001,3.6000003333999997,4.980000162600001,3.9400000572,2.8599995620000005,2.9000001426000006,3.6199999808000003,3.4800003038000007,4.339999676200001,1.7799997328000003,1.9000000950000002,4.420000456200001,2.2799995428000006,3.9400004379999993,3.0999999044000006,3.0400000094,2.499999809,3.7399998664000007,4.000000095800001,2.8800003999999992,0.9999998090000002,8.540000057,1.6200000285999998,4.459999657400001,2.2600000379999994,2.7199999808,4.659999562999999,9.559999991637369e-08,3.820000265600001,1.6799999717999992,2.7999998102,2.6600004191999993,6.140000342000001,1.6999998565999999,4.300000284400001,2.260000133800001,2.6200002668,2.1599998953999995,3.0999999047999998,3.0399994865999993,3.3200002663999992,3.1000001910000003,2.3399996756000006,4.0518558578147434,4.000000095800001,-0.051855762014742623,-0.09054427131138376
422,2011-02-01,4.8400003418000015,0.39999990439999955,4.4600000382,5.8399998669999995,3.6000000476,4.8000003334,3.8599995620000005,3.0399998664000005,2.9399998184000005,3.5399998663999988,3.3599995616000005,4.040000342799999,1.7800000664000004,1.9399998664,4.220000360800001,2.2000000948,3.9199996943999995,3.0399998667999997,2.900000285599999,2.400000095,4.360000418,3.8399997705999995,2.8600001338000007,0.9599999906000001,8.500000380200001,1.5200001238,4.459999657000001,2.0599999429999993,2.620000172000001,4.4400004372,-0.040000152800000244,3.459999847199999,1.5200000760000005,2.5999999999999996,2.400000191,6.259999658199999,1.719999837600001,4.2400002484,2.1800000189999995,2.480000018600001,1.9800002099999992,2.9200001236,2.880000304400001,2.9600004192,2.9800003046,2.400000095,3.9137752570092283,3.8399997705999995,-0.07377548640922882,-0.11246399570586996
423,2011-03-01,4.539999676200001,0.3999997144000007,4.1800003056,5.660000322800001,3.499999571200001,4.68000021,3.6200001237999997,3.2399999617999997,2.8599999432,3.480000019,3.1600000383999998,3.7199997899999993,1.5799997804000006,1.7799999238000002,3.799999619000001,2.0200000765999997,3.7399996764,2.8599997994000006,2.579999828,2.2400000570000005,3.7799995428000006,3.340000438199999,2.719999885399999,0.7799998757999997,8.439999581599999,1.4199997422000008,4.260000418999999,1.8800000186000005,2.4600002292000003,4.160000322800001,-0.040000057399999456,3.159999942599999,1.140000248399999,2.4199997907999995,2.2000000948,6.219999695599999,1.6799998282000006,3.9999999998,1.9599998471999998,2.299999905,1.9400002003999992,2.6000000002,2.7799996382000005,2.7199996956000003,2.6999998089999995,2.1599998478,3.6375660386245126,3.340000438199999,-0.29756560042451374,-0.3362541097211549
424,2011-04-01,4.719999981,0.3400002481999991,4.139999866,5.5399999618,3.239999771,4.460000086200001,3.5399999621999996,3.5000003811999996,2.6999999996,3.3600002292000006,3.200000380999999,3.5399995330000014,1.4000001425999997,1.5199998376000003,3.680000400199999,1.8000002861999995,3.6399995808000014,2.9000000952000002,2.399999952599999,2.1199999338,3.7799996378000005,3.2200001720000007,2.519999789800001,0.6599997994000004,8.460000132800001,1.3999997614000006,4.2000000954,1.8599999426,2.4000001907999993,4.2199995044000005,-9.500000031081868e-08,2.9200000287999996,1.0800002577999992,2.219999885600001,2.3200002673999993,6.1400000574,1.4800000666000006,4.0800000192,1.8200001713999994,2.0200001712000004,1.9000000476000007,2.5399999621999996,2.6399997707999994,2.3200000762000004,2.7199999808,2.2399998664,3.515075737602669,3.2200001720000007,-0.29507556560266845,-0.3337640748993096
425,2011-05-01,4.760000419199999,0.42000007660000005,4.120000361999999,5.6800002092,3.539999580800001,4.379999638000001,3.539999867,3.739999771799999,3.0599998470000003,3.2400002006,3.5000001910000007,3.8999999041999995,1.5199998376000008,1.520000219799999,3.8399996764000006,1.8799998282,3.5799999716000004,2.9999999048,2.3799999716,2.3600001336,3.9800003992000006,3.319999599800001,2.5199998858,0.7600001337999993,8.419999981,1.4399998668,4.4399998184,2.019999789800001,2.5400001528000002,4.3600004182,0.03999986699999969,3.3599998471999992,1.0999998566000002,2.3600003237999996,2.5399997708000006,6.2199999808,1.2999998575999996,4.199999618800001,2.0000000004,1.9000002862,1.8800002099999995,2.7000001904000004,2.799999713599999,2.3800001146000005,2.8999998090000005,1.9799998756000008,3.627186910514017,3.319999599800001,-0.30718731071401617,-0.3458758200106573
426,2011-06-01,4.7000003800000005,0.2599999428000004,4.8799999238,5.8200000765999995,2.9600001814000008,4.2400000574,3.4599998471999998,3.699999524599999,3.0200000762000005,3.3000001426,3.7199997909999993,4.120000172000001,1.4999999525999996,1.4599998469999997,3.7799998279999993,1.8200001718000003,3.2599998954,3.0599999431999994,2.4199999335999998,2.179999876,4.0399999617999995,3.2199995998000013,2.419999981,0.7799997804000007,8.239999772000001,1.4200001718,4.4,1.9600004193999991,2.7399996754,4.559999753,0.03999996139999995,3.4399995808000012,1.1399997710000003,2.3799999238,2.899999619000001,5.819999791,1.219999886,4.140000343199999,2.019999600000001,1.7399999623999998,1.7200001238000002,2.8800001142000005,2.760000229,2.3800003999999992,2.8399997707999995,1.6400000096,3.5588253477712306,3.2199995998000013,-0.33882574797122933,-0.37751425726787047
